"Food","User_Interest"
"spinach","0.9"
"kiwi","0.9"
"butter","0.9"
"bread","0.66063726"
"milk","0.9"
"coke","0.66063726"
"chickenLegs","0.9"
"brownBread","0.9"
"orange","0.9"
"greekCheese","0.9"
"chickenBreasts","0.9"
"apple","0.9"
"brocolli","0.9"
"lowFatMilk","0.9"
"dietCoke","0.9"
"mushroom","0.9"
"sweeseCheese","0.9"
